event,property_username,property_$initial_referring_domain,property_$initial_referrer,property_$screen_width,property_$referring_domain,property_distinct_id,property_$city,property_$screen_height,property_path,property_$referrer,property_mp_country_code,property_$region,property_mp_lib,property_currentTime,property_$device,property_time,property_$os,property_$browser,property_subject
Back to Inbox,oleary5,$direct,$direct,1600,,146b47b861b5a-05f8e4846-4e48022f-13c680-146b47b861d15c,Buffalo,900,/survey,,US,New York,web,1404235123,,1404209924,Windows,Chrome,
Page Views,samplejeanine,$direct,$direct,1600,,146edbd990aa-0e9a54ac1332f4-43514136-15f900-146edbd990b7f,Vienna,900,/,,US,Virginia,web,,,1404210485,Windows,Firefox,
Page Views,samplejeanine,$direct,$direct,1600,,146edbd990aa-0e9a54ac1332f4-43514136-15f900-146edbd990b7f,Vienna,900,/qualtricslink,,US,Virginia,web,,,1404210486,Windows,Firefox,
Page Views,oleary5,$direct,$direct,1600,msbresearch.meteor.com,146b47b861b5a-05f8e4846-4e48022f-13c680-146b47b861d15c,Buffalo,900,/qualtricslink,http://msbresearch.meteor.com/qualtricslink,US,New York,web,,,1404210488,Windows,Chrome,
Page Views,oleary5,$direct,$direct,1600,,146b47b861b5a-05f8e4846-4e48022f-13c680-146b47b861d15c,Bethesda,900,/,,US,Maryland,web,,,1404230756,Windows,Chrome,
Practice View,oleary9,$direct,$direct,1600,,146b47b861b5a-05f8e4846-4e48022f-13c680-146b47b861d15c,Bethesda,900,/practice/iNpn84rsYot5m6Dev,,US,Maryland,web,,,1404230814,Windows,Chrome,RE: Meeting next week regarding sales conference
Practice View,oleary9,$direct,$direct,1600,,146b47b861b5a-05f8e4846-4e48022f-13c680-146b47b861d15c,Bethesda,900,/practice/i8Zj7EGqDCH2KKhfv,,US,Maryland,web,,,1404230835,Windows,Chrome,RE: Meeting next week regarding sales conference
Practice View,oleary9,$direct,$direct,1600,,146b47b861b5a-05f8e4846-4e48022f-13c680-146b47b861d15c,Bethesda,900,/practice/wZGWFbjRF4v3MYkmK,,US,Maryland,web,,,1404231035,Windows,Chrome,RE: Meeting next week regarding sales conference
Play Audio,oleary9,$direct,$direct,1600,,146b47b861b5a-05f8e4846-4e48022f-13c680-146b47b861d15c,Bethesda,900,/survey,,US,Maryland,web,,,1404231088,Windows,Chrome,
Message View,oleary9,$direct,$direct,1600,,146b47b861b5a-05f8e4846-4e48022f-13c680-146b47b861d15c,Bethesda,900,/messages/mMtBxDeGfxZTxucfy,,US,Maryland,web,1404256296,,1404231097,Windows,Chrome,I Can't Make Friday
